"timestamp","GazeVec3","PosiVec3"
2023-10-21 12:19:30,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","18.853395462036133,18.26336669921875,15.049321174621582"
2023-10-21 12:19:30,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","20.80145263671875,20.79694175720215,17.37325096130371"
2023-10-21 12:19:29,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","21.8609561920166,22.174894332885742,18.637184143066406"
2023-10-21 12:19:29,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","24.167747497558594,25.17502784729004,21.389066696166992"
2023-10-21 12:19:29,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","26.076677322387695,27.657712936401367,23.666318893432617"
2023-10-21 12:19:29,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","27.44192886352539,29.433313369750977,25.294992446899414"
2023-10-21 12:19:28,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","29.423995971679688,31.913440704345703,28.440998077392578"
2023-10-21 12:19:28,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","32.18918991088867,35.297088623046875,33.441253662109375"
2023-10-21 12:19:28,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","34.47745895385742,38.09714126586914,37.5790901184082"
2023-10-21 12:19:28,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","36.114009857177734,40.0997200012207,40.5384407043457"
2023-10-21 12:19:28,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","38.74839782714844,43.323299407958984,45.302154541015625"
2023-10-21 12:19:28,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","41.61509704589844,46.83115768432617,50.485965728759766"
2023-10-21 12:19:27,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","45.83441925048828,51.9941520690918,58.115692138671875"
2023-10-21 12:19:27,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","48.12921142578125,54.80219268798828,62.26532745361328"
2023-10-21 12:19:27,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","51.823177337646484,59.32233428955078,68.94506072998047"
2023-10-21 12:19:27,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","55.842899322509766,64.2410888671875,76.21385955810547"
2023-10-21 12:19:27,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","60.217105865478516,69.59362030029297,84.12366485595703"
2023-10-21 12:19:27,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","64.97706604003906,75.41816711425781,92.73101043701172"
2023-10-21 12:19:27,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","70.15678405761719,81.75636291503906,102.097412109375"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","75.79328155517578,88.65349578857422,112.28980255126953"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","81.92684936523438,96.15887451171875,123.38102722167969"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","88.60131072998047,104.32611846923828,135.45034790039062"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","95.86437225341797,113.21360778808594,148.58401489257812"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","103.76793670654297,122.88484954833984,162.8759002685547"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","112.36849212646484,133.40896606445312,178.42813110351562"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","118.51954650878906,140.9357452392578,189.5509796142578"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","128.42098999023438,153.0517120361328,207.4556121826172"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","135.50244140625,161.7169647216797,220.2608642578125"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","142.9943084716797,170.8844451904297,233.8083038330078"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","127.81421661376953,152.30921936035156,206.35838317871094"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","118.64228057861328,141.0859375,189.77293395996094"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","106.16535186767578,125.8184585571289,167.2111053466797"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","98.6266860961914,116.59373474121094,153.57907104492188"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","91.65677642822266,108.06495666503906,140.97549438476562"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","85.21269989013672,100.17961883544922,129.32276916503906"
2023-10-21 12:19:26,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","68.65351104736328,79.91687774658203,99.37907409667969"
2023-10-21 12:18:05,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","66.25303649902344,76.97952270507812,95.03833770751953"
2023-10-21 12:18:05,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","66.37014770507812,76.68515014648438,95.16157531738281"
2023-10-21 12:18:05,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","67.69844055175781,75.61682891845703,94.70556640625"
2023-10-21 12:18:05,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","86.51130676269531,60.9992561340332,87.82789611816406"
2023-10-21 12:17:52,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","87.62286376953125,59.88899612426758,87.62286376953125"
